===============================================================================
Id,brf,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,TimeReturn,len,timereturn
1,brf,1,2015-05-13 00:00:00,2386.37,2386.37,2386.37,2386.37,3864700.0,0.0,MyStrategy,1,735731.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,TimeReturn,1,0.0
2,brf,2,2015-05-14 00:00:00,2387.36,2393.59,2347.25,2367.37,5508100.0,0.0,MyStrategy,2,735732.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,TimeReturn,2,0.0
3,brf,3,2015-05-15 00:00:00,2364.32,2377.57,2355.11,2376.69,2944100.0,0.0,MyStrategy,3,735733.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,TimeReturn,3,0.0
4,brf,4,2015-05-18 00:00:00,2378.7,2378.76,2356.21,2356.23,2653700.0,0.0,MyStrategy,4,735736.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,TimeReturn,4,0.0
5,brf,5,2015-05-19 00:00:00,2349.96,2362.55,2345.85,2350.12,2727400.0,0.0,MyStrategy,5,735737.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,TimeReturn,5,0.0
6,brf,6,2015-05-20 00:00:00,2345.09,2348.51,2308.89,2319.84,3828800.0,0.0,MyStrategy,6,735738.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,TimeReturn,6,0.0
7,brf,7,2015-05-21 00:00:00,2319.51,2357.8,2318.76,2350.33,3541000.0,0.0,MyStrategy,7,735739.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,TimeReturn,7,0.0
8,brf,8,2015-05-22 00:00:00,2351.95,2364.71,2332.05,2357.2,3877600.0,0.0,MyStrategy,8,735740.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,TimeReturn,8,0.0
9,brf,9,2015-05-25 00:00:00,2354.48,2356.44,2335.64,2354.35,3222200.0,0.0,MyStrategy,9,735743.0,Broker,9,7645.52,9999.87,BuySell,9,2300.6054,,Trades - Net Profit/Loss,9,,,TimeReturn,9,-1.2999999999929734e-05
10,brf,10,2015-05-26 00:00:00,2355.46,2383.84,2353.48,2358.85,5062500.0,0.0,MyStrategy,10,735744.0,Broker,10,7645.52,10004.37,BuySell,10,,,Trades - Net Profit/Loss,10,,,TimeReturn,10,0.00045000585007604066
11,brf,11,2015-05-27 00:00:00,2357.99,2363.31,2350.22,2363.31,2687300.0,0.0,MyStrategy,11,735745.0,Broker,11,7645.52,10008.83,BuySell,11,,,Trades - Net Profit/Loss,11,,,TimeReturn,11,0.00044580518313486195
12,brf,12,2015-05-28 00:00:00,2362.64,2381.3,2351.82,2364.63,3316800.0,0.0,MyStrategy,12,735746.0,Broker,12,7645.52,10010.150000000001,BuySell,12,,,Trades - Net Profit/Loss,12,,,TimeReturn,12,0.00013188354682824865
13,brf,13,2015-05-29 00:00:00,2363.46,2374.05,2345.18,2370.44,3395300.0,0.0,MyStrategy,13,735747.0,Broker,13,7645.52,10015.960000000001,BuySell,13,,,Trades - Net Profit/Loss,13,,,TimeReturn,13,0.0005804108829536858
14,brf,14,2015-06-01 00:00:00,2368.36,2396.45,2359.59,2382.98,4416400.0,0.0,MyStrategy,14,735750.0,Broker,14,7645.52,10028.5,BuySell,14,,,Trades - Net Profit/Loss,14,,,TimeReturn,14,0.001252001805118974
15,brf,15,2015-06-02 00:00:00,2385.54,2389.13,2374.91,2386.79,2765300.0,0.0,MyStrategy,15,735751.0,Broker,15,7645.52,10032.310000000001,BuySell,15,,,Trades - Net Profit/Loss,15,,,TimeReturn,15,0.00037991723587782467
16,brf,16,2015-06-03 00:00:00,2389.02,2389.92,2359.3,2360.27,2615800.0,0.0,MyStrategy,16,735752.0,Broker,16,7645.52,10005.79,BuySell,16,,,Trades - Net Profit/Loss,16,,,TimeReturn,16,-0.0026434589840226286
17,brf,17,2015-06-04 00:00:00,2357.64,2369.52,2347.48,2367.11,3320300.0,0.0,MyStrategy,17,735753.0,Broker,17,12360.8,9993.689999999999,BuySell,17,,2405.0627999999997,Trades - Net Profit/Loss,17,3.1599999999998545,,TimeReturn,17,-0.0012092998154070722
18,brf,18,2015-06-05 00:00:00,2367.12,2374.93,2337.38,2352.13,2704300.0,0.0,MyStrategy,18,735754.0,Broker,18,12360.8,10008.669999999998,BuySell,18,,,Trades - Net Profit/Loss,18,,,TimeReturn,18,0.0014989458348217966
19,brf,19,2015-06-08 00:00:00,2350.12,2350.12,2337.32,2344.25,2066300.0,0.0,MyStrategy,19,735757.0,Broker,19,12360.8,10016.55,BuySell,19,,,Trades - Net Profit/Loss,19,,,TimeReturn,19,0.0007873173958179436
20,brf,20,2015-06-09 00:00:00,2340.87,2365.92,2339.16,2346.27,2209600.0,0.0,MyStrategy,20,735758.0,Broker,20,12360.8,10014.529999999999,BuySell,20,,,Trades - Net Profit/Loss,20,,,TimeReturn,20,-0.00020166624236894748
