,date,open,close,high,low,volume,code
0,2017-01-03,22.699,22.364,22.738,22.306,6858.0,600419
1,2017-01-04,22.26,22.603,22.861,22.244,4322.0,600419
2,2017-01-05,22.734,22.414,22.734,22.345,3386.0,600419
3,2017-01-06,22.256,22.372,22.641,22.202,4220.0,600419
4,2017-01-09,22.318,22.441,22.688,22.198,7575.0,600419
5,2017-01-10,22.507,22.21,22.587,22.202,4329.0,600419
6,2017-01-11,22.206,22.102,22.306,21.967,2861.0,600419
7,2017-01-12,21.893,21.157,22.16,21.034,4710.0,600419
8,2017-01-13,21.007,20.54,21.196,20.463,5178.0,600419
9,2017-01-16,20.347,20.189,20.691,19.58,5559.0,600419
10,2017-01-17,20.193,19.97,20.278,19.646,5663.0,600419
11,2017-01-18,19.97,20.178,20.425,19.696,3875.0,600419
12,2017-01-19,20.174,20.147,20.263,19.808,2564.0,600419
13,2017-01-20,20.159,20.787,20.906,20.159,4009.0,600419
14,2017-01-23,20.81,20.876,21.138,20.617,4276.0,600419
15,2017-01-24,20.621,20.586,20.814,20.467,3352.0,600419
16,2017-01-25,20.59,20.671,20.949,20.44,4273.0,600419
17,2017-01-26,20.725,20.837,21.014,20.66,2722.0,600419
18,2017-02-03,20.795,20.883,21.146,20.733,3028.0,600419
19,2017-02-06,20.772,21.342,21.462,20.772,3540.0,600419
20,2017-02-07,21.427,21.307,21.577,21.076,2571.0,600419
21,2017-02-08,21.288,21.365,21.45,21.142,2044.0,600419
22,2017-02-09,21.504,21.446,21.608,21.354,2909.0,600419
23,2017-02-10,21.396,21.847,22.761,21.392,7263.0,600419
24,2017-02-13,21.766,21.732,21.847,21.354,5119.0,600419
25,2017-02-14,21.77,21.593,21.77,21.454,1748.0,600419
26,2017-02-15,21.427,21.593,21.932,21.392,5047.0,600419
27,2017-02-16,21.446,21.847,21.959,21.446,4160.0,600419
28,2017-02-17,21.782,21.689,22.052,21.62,2960.0,600419
29,2017-02-20,21.689,21.847,21.89,21.485,2751.0,600419
30,2017-02-21,21.759,21.716,21.89,21.651,3693.0,600419
31,2017-02-22,21.716,22.121,22.16,21.716,5307.0,600419
32,2017-02-23,22.16,22.148,22.16,21.847,4619.0,600419
33,2017-02-24,22.229,22.063,22.314,22.025,2997.0,600419
34,2017-02-27,21.971,21.751,22.16,21.585,4644.0,600419
35,2017-02-28,21.678,21.03,21.89,20.899,9012.0,600419
36,2017-03-01,21.045,21.354,21.462,21.041,6459.0,600419
37,2017-03-02,21.388,22.36,22.568,21.388,16598.0,600419
38,2017-03-03,22.264,22.387,23.197,22.256,14781.0,600419
39,2017-03-06,22.314,22.865,23.22,22.314,15564.0,600419
