datetime,open,high,low,close,volume
2015/1/5,2555.58,2564.39,2555.58,2564.39,3060400
2015/1/6,2556.38,2647.05,2554.11,2622.04,7828300
2015/1/7,2618.84,2618.84,2575.46,2588.83,4588000
2015/1/8,2589.31,2605.44,2568.25,2582.66,3893900
2015/1/9,2587.27,2590.57,2550.49,2560.6,3794500
2015/1/12,2560.58,2568.28,2504.02,2504.86,5536100
2015/1/13,2500.09,2516.07,2486.33,2512.24,3523900
2015/1/14,2501.31,2521.02,2458.44,2489.83,5366700
2015/1/15,2486.48,2524.76,2475.08,2520.32,4675300
2015/1/16,2521.55,2532.19,2499.49,2512.83,4091500
2015/1/19,2502.1,2526.92,2474.54,2517.83,6188400
2015/1/20,2514,2527.76,2489.63,2490.46,4010800
2015/1/21,2487.82,2513.74,2475.15,2475.96,4294800
2015/1/22,2466.46,2493.84,2466.46,2482.74,3618100
2015/1/23,2482.11,2498.08,2476.74,2487.56,3952400
2015/1/26,2484.77,2484.77,2448.38,2455.67,4995800
2015/1/27,2458.95,2473.94,2454.5,2461.86,2535800
2015/1/28,2469.26,2479.84,2460.33,2478.74,2615900
2015/1/29,2477.51,2519.58,2477,2512.16,4088800
2015/1/30,2518.12,2518.12,2497.46,2503.11,2480700
2015/2/2,2507.15,2512.25,2493.03,2502.54,3054700
2015/2/3,2505.3,2515.04,2490.47,2491.57,3055100
2015/2/4,2496.96,2530.35,2488.15,2488.83,3693100
2015/2/5,2501.11,2514.15,2494.47,2494.47,2349800
2015/2/6,2497.09,2516.78,2495.41,2516.14,2279700
2015/2/9,2516.8,2516.8,2489.63,2501.66,2255000
2015/2/10,2501.4,2517.53,2500.3,2513.55,1170500
2015/2/11,2515.03,2517.62,2504.54,2514.76,867900
2015/2/12,2515.51,2517.98,2498.72,2510.66,1115400
2015/2/13,2510.42,2536.54,2507.89,2532.48,2085000
2015/2/16,2531.79,2566.77,2531.79,2546.16,1882800
2015/2/17,2547.27,2550.66,2527.27,2542.41,1180300
2015/2/25,2535.23,2535.23,2502.35,2508.77,1229000
2015/2/26,2511.76,2534.85,2511.38,2532.54,1329700
2015/2/27,2535.56,2540.49,2497.97,2499.32,2292700
2015/3/2,2498.43,2526.33,2467.25,2520.4,4873300
2015/3/3,2516.7,2532.05,2499.48,2514.38,3035400
2015/3/4,2512.24,2518.56,2502.53,2509.48,1911400
2015/3/5,2509.65,2510.88,2470.87,2484.5,3898700
2015/3/6,2483.52,2490.63,2452.42,2452.45,2551200
2015/3/9,2448.23,2458,2431.34,2444.64,4516500
2015/3/10,2443.11,2450.34,2403.65,2405.29,3290200
2015/3/11,2404.75,2429.53,2403.32,2423.83,2782900
2015/3/12,2426.42,2456.39,2417.56,2447.5,3314700
2015/3/13,2459.78,2464.36,2438.46,2447.69,2929700
2015/3/16,2446.83,2481.5,2437.55,2477.64,3412600
2015/3/17,2478.39,2482.43,2466.62,2472.96,2353900
2015/3/18,2471.53,2486.41,2448.73,2457.27,5007600
2015/3/19,2454.34,2473.46,2449.32,2457.63,2342500
2015/3/20,2458.65,2470.43,2453.69,2457.09,1980200
2015/3/23,2459.79,2527.31,2459.79,2526.37,5448300
2015/3/24,2528.67,2550.96,2520.22,2525.11,4699500
2015/3/25,2522.53,2529.63,2492.27,2493.97,3452000
2015/3/26,2490.6,2500.13,2475.77,2476.19,3276800
2015/3/27,2479.73,2479.73,2399.6,2467.68,6721200
2015/3/30,2462.8,2470.09,2443.67,2445.88,4717600
2015/3/31,2466.33,2470.22,2412.41,2426.01,5684800
2015/4/1,2418.98,2422.54,2380.27,2388.28,6215700
2015/4/2,2375.73,2399.65,2341.56,2343.5,8391400
2015/4/3,2344.25,2344.25,2338.51,2342.65,6377300
2015/4/7,2331.8,2343.15,2309.57,2310.49,4670200
2015/4/8,2305.83,2334.04,2283.2,2323.21,7436500
2015/4/9,2322.05,2323.08,2286.51,2289.35,4984500
2015/4/10,2290.21,2295.1,2264.61,2264.61,4949100
2015/4/13,2262.18,2330.52,2262.18,2326.68,8639100
2015/4/14,2332.13,2338.45,2299.88,2321.87,7485000
2015/4/15,2324.64,2328.71,2293.62,2296.56,4659500
2015/4/16,2295.09,2327.61,2290.68,2317.2,5159700
2015/4/17,2316.19,2333.94,2309.13,2311.39,4776500
2015/4/20,2305.49,2314.3,2279.31,2280.34,6423400
2015/4/21,2278.37,2290.7,2271.34,2280.67,4397900
2015/4/22,2281.55,2333.39,2281.55,2326.44,7173000
2015/4/23,2327.37,2331.32,2306.7,2322.56,5665800
2015/4/24,2324.35,2385.48,2324.35,2377.03,9599300
2015/4/27,2383.23,2411.67,2365.38,2407.31,9033800
2015/4/28,2415.88,2428.41,2384.74,2397.28,6136100
2015/4/29,2397.47,2410.98,2333.55,2340.67,7548700
2015/4/30,2347.35,2377.01,2341.62,2365.27,5622300
2015/5/4,2382.33,2421.66,2371.38,2413.72,5048100
2015/5/5,2414.7,2441.18,2401.68,2429.92,7814300
2015/5/6,2431.39,2447.74,2420.35,2432.18,6477300
