datetime,open,high,low,close,volume
2018-01-26 22:01,3920.48,3923.18,3920.48,3922.37,4600
2018-01-26 22:02,3922.37,3922.37,3920.48,3922.27,2500
2018-01-26 22:03,3922.27,3922.36,3920.48,3921.46,1500
2018-01-26 22:04,3922.36,3922.36,3919.57,3920.47,2500
2018-01-26 22:05,3919.58,3920.49,3917.69,3919.58,9300
2018-01-26 22:06,3918.69,3920.4,3918.69,3919.5,3100
2018-01-26 22:07,3920.4,3920.49,3919.49,3920.3,2300
2018-01-26 22:08,3920.39,3921.29,3919.49,3920.39,2700
2018-01-26 22:09,3920.39,3921.29,3919.4,3919.4,1200
2018-01-26 22:10,3919.4,3919.4,3918.33,3918.59,2300
2018-01-26 22:11,3919.48,3921.37,3918.59,3921.37,2900
2018-01-26 22:12,3921.37,3923.26,3921.37,3923.26,6600
2018-01-26 22:13,3923.26,3924.17,3923.17,3923.27,3900
2018-01-26 22:14,3924.17,3924.17,3922.2,3922.2,2800
2018-01-26 22:15,3923.1,3923.19,3921.29,3921.29,3200
2018-01-26 22:16,3920.39,3921.29,3920.3,3921.2,900
2018-01-26 22:17,3921.2,3921.29,3920.38,3920.38,1500
2018-01-26 22:18,3920.3,3922.27,3920.3,3922.27,2300
2018-01-26 22:19,3923.17,3923.34,3922.35,3923.34,500
2018-01-26 22:20,3923.34,3923.34,3921.46,3922.45,1700
2018-01-26 22:21,3922.36,3923.34,3921.37,3923.34,900
2018-01-26 22:22,3922.44,3923.53,3922.44,3923.45,900
2018-01-26 22:23,3923.53,3923.53,3922.55,3922.56,1200
2018-01-26 22:24,3921.57,3922.72,3921.57,3921.65,1300
2018-01-26 22:25,3921.65,3922.55,3921.56,3922.55,1300
2018-01-26 22:26,3922.55,3923.45,3922.46,3923.36,1200
2018-01-26 22:27,3923.36,3923.36,3922.46,3922.46,800
2018-01-26 22:28,3922.46,3922.46,3921.56,3922.46,600
2018-01-26 22:29,3921.56,3922.46,3921.56,3921.57,2900
2018-01-26 22:30,3920.58,3921.54,3917.78,3921.54,8700
2018-01-26 22:31,3922.44,3930.22,3922.44,3930.22,30500
2018-01-26 22:32,3929.32,3934.23,3929.32,3932.28,39700
2018-01-26 22:33,3932.19,3932.19,3930.39,3930.39,9800
2018-01-26 22:34,3931.38,3931.38,3929.48,3930.3,7300
2018-01-26 22:35,3930.3,3933.18,3929.4,3933.1,15100
2018-01-26 22:36,3933.2,3933.2,3930.42,3931.31,18000
2018-01-26 22:37,3931.31,3931.31,3929.51,3930.41,3800
2018-01-26 22:38,3930.41,3931.3,3929.51,3929.59,2600
2018-01-26 22:39,3931.39,3940.72,3930.49,3939.15,41800
