datetime,zzqz
2008/1/2,1
2008/1/3,1.000895175
2008/1/4,1.001342763
2008/1/7,1.001253245
2008/1/8,1.001163728
2008/1/9,1.001342763
2008/1/10,1.002327455
2008/1/11,1.002416973
2008/1/14,1.00214842
2008/1/15,1.002596008
2008/1/16,1.003043595
2008/1/17,1.00286456
2008/1/18,1.0035807
2008/1/21,1.003759735
2008/1/22,1.00393877
2008/1/23,1.004923463
2008/1/24,1.005281533
2008/1/25,1.005908155
2008/1/28,1.00608719
2008/1/29,1.006355743
2008/1/30,1.00751947
2008/1/31,1.008683198
2008/2/1,1.010473548
2008/2/4,1.01181631
2008/2/5,1.021573718
2008/2/13,1.023185033
2008/2/14,1.023005998
2008/2/15,1.023095515
2008/2/18,1.023185033
2008/2/19,1.022379375
2008/2/20,1.022289858
2008/2/21,1.02255841
2008/2/22,1.022647928
2008/2/25,1.02291648
2008/2/26,1.023095515
2008/2/27,1.023095515
2008/2/28,1.024080208
2008/2/29,1.025602005
2008/3/3,1.025602005
2008/3/4,1.02542297
2008/3/5,1.02542297
2008/3/6,1.025602005
2008/3/7,1.025512488
2008/3/10,1.025691523
2008/3/11,1.02578104
2008/3/12,1.025691523
2008/3/13,1.02542297
2008/3/14,1.025602005
2008/3/17,1.025870558
2008/3/18,1.025960075
2008/3/19,1.026318145
2008/3/20,1.027034285
2008/3/21,1.027481873
2008/3/24,1.028914153
2008/3/25,1.029809328
2008/3/26,1.030346433
2008/3/27,1.030883538
2008/3/28,1.030525468
2008/3/31,1.033479545
2008/4/1,1.03401665
2008/4/2,1.034285203
2008/4/3,1.033748098
2008/4/7,1.03258437
2008/4/8,1.03258437
2008/4/9,1.033210993
2008/4/10,1.03258437
2008/4/11,1.032315818
2008/4/14,1.033390028
2008/4/15,1.033210993
2008/4/16,1.032852923
2008/4/17,1.032852923
2008/4/18,1.032763405
2008/4/21,1.03294244
2008/4/22,1.033569063
2008/4/23,1.033837615
2008/4/24,1.03365858
2008/4/25,1.033748098
2008/4/28,1.034106168
2008/4/29,1.034106168
2008/4/30,1.034285203
2008/5/5,1.034822308
2008/5/6,1.034911825
2008/5/7,1.034285203
2008/5/8,1.033837615
2008/5/9,1.03401665
2008/5/12,1.03437472
2008/5/13,1.034643273
2008/5/14,1.034822308
2008/5/15,1.034822308
2008/5/16,1.03473279
2008/5/19,1.035359413
2008/5/20,1.035001343
2008/5/21,1.035359413
2008/5/22,1.035359413
2008/5/23,1.035627965
2008/5/26,1.035538448
